epoch,ts,temperature_c,temperature_f,humidity_pct,pressure_station_mbar,pressure_sealevel_mbar,dew_point_c,heat_index_c,wu_status
1783342480,2026-07-06T13:54:40+0100,27.41,81.34,45.73,1007.87,1013.61,14.7,27.5,success
1783342521,2026-07-06T13:55:21+0100,27.66,81.79,46.13,1007.86,1013.59,15.0,27.8,success
1783342833,2026-07-06T14:00:33+0100,28.59,83.46,43.96,1007.69,1013.41,15.1,28.5,success
1783343142,2026-07-06T14:05:42+0100,29.03,84.25,42.83,1007.76,1013.46,15.1,28.9,success
1783343419,2026-07-06T14:10:19+0100,29.32,84.78,41.07,1007.84,1013.54,14.7,29.0,success
1783343730,2026-07-06T14:15:30+0100,29.33,84.79,40.41,1007.74,1013.44,14.5,29.0,success
1783344320,2026-07-06T14:25:20+0100,29.8,85.64,40.72,1007.73,1013.42,15.0,29.5,success
1783344382,2026-07-06T14:26:22+0100,29.7,85.46,39.36,1007.77,1013.46,14.4,29.3,success
1783344619,2026-07-06T14:30:19+0100,29.35,84.83,40.4,1007.67,1013.37,14.5,29.0,success
1783344777,2026-07-06T14:32:57+0100,29.62,85.32,39.97,1007.65,1013.34,14.6,29.3,success
1783344925,2026-07-06T14:35:25+0100,29.48,85.06,45.49,1007.76,1013.46,16.5,29.7,success
1783345256,2026-07-06T14:40:56+0100,29.95,85.91,40.68,1007.63,1013.31,15.2,29.7,success
1783345529,2026-07-06T14:45:29+0100,29.81,85.66,38.81,1007.62,1013.31,14.3,29.3,success
1783345829,2026-07-06T14:50:29+0100,29.93,85.87,37.93,1007.51,1013.2,14.0,29.4,success
1783346126,2026-07-06T14:55:26+0100,29.77,85.59,38.58,1007.59,1013.28,14.2,29.3,success
1783346433,2026-07-06T15:00:33+0100,29.38,84.88,39.5,1007.48,1013.18,14.2,29.0,success
